국가별,시점,확진자수[명],사망자수[명]
바레인,2020. 06. 17,19013,47
바레인,2020. 06. 18,19553,49
바레인,2020. 06. 19,19961,52
바레인,2020. 06. 20,20430,57
바레인,2020. 06. 21,20916,59
바레인,2020. 06. 22,21331,61
바레인,2020. 06. 23,21764,64
바레인,2020. 06. 24,22407,66
바레인,2020. 06. 25,23062,68
바레인,2020. 06. 26,23570,70
바레인,2020. 06. 27,24081,71
바레인,2020. 06. 28,24805,78
바레인,2020. 06. 29,25267,78
바레인,2020. 06. 30,25705,83
바레인,2020. 07. 01,26239,86
바레인,2020. 07. 02,26758,90
바레인,2020. 07. 03,27414,93
바레인,2020. 07. 04,27837,94
바레인,2020. 07. 05,28410,95
바레인,2020. 07. 06,28857,97
바레인,2020. 07. 07,29367,98
바레인,2020. 07. 08,29821,98
바레인,2020. 07. 09,30321,98
바레인,2020. 07. 10,30931,101
바레인,2020. 07. 11,31528,103
바레인,2020. 07. 12,32039,104
바레인,2020. 07. 13,32470,107
바레인,2020. 07. 14,32941,109
바레인,2020. 07. 15,33476,109
바레인,2020. 07. 16,34078,116
바레인,2020. 07. 17,34560,121
바레인,2020. 07. 18,35084,121
바레인,2020. 07. 19,35473,124
바레인,2020. 07. 20,36004,124
바레인,2020. 07. 21,36422,128
바레인,2020. 07. 22,36936,128
바레인,2020. 07. 23,37316,130
바레인,2020. 07. 24,37637,132
바레인,2020. 07. 25,37996,136
바레인,2020. 07. 26,38458,137
바레인,2020. 07. 27,38747,140
바레인,2020. 07. 28,39131,141
바레인,2020. 07. 29,39482,141
바레인,2020. 07. 30,39921,142
바레인,2020. 07. 31,40311,144
바레인,2020. 08. 01,40755,147
바레인,2020. 08. 02,40982,148
바레인,2020. 08. 03,41190,148
바레인,2020. 08. 04,41536,148
바레인,2020. 08. 05,41835,150
바레인,2020. 08. 06,42132,154
바레인,2020. 08. 07,42514,156
바레인,2020. 08. 08,42889,158
바레인,2020. 08. 09,43307,161
바레인,2020. 08. 10,43629,162
바레인,2020. 08. 11,44011,163
바레인,2020. 08. 12,44397,165
바레인,2020. 08. 13,44804,166
바레인,2020. 08. 14,45264,167
바레인,2020. 08. 15,45726,167
바레인,2020. 08. 16,46052,169
바레인,2020. 08. 17,46430,170
바레인,2020. 08. 18,46835,172
바레인,2020. 08. 19,47185,175
바레인,2020. 08. 20,47581,176
바레인,2020. 08. 21,47950,179
바레인,2020. 08. 22,48303,179
바레인,2020. 08. 23,48661,183
바레인,2020. 08. 24,49038,184
바레인,2020. 08. 25,49330,184
바레인,2020. 08. 26,49719,185
바레인,2020. 08. 27,50076,186
바레인,2020. 08. 28,50393,187
바레인,2020. 08. 29,50756,189
바레인,2020. 08. 30,51113,189
바레인,2020. 08. 31,51391,189
바레인,2020. 09. 01,51574,190
바레인,2020. 09. 02,51972,190
바레인,2020. 09. 03,52440,190
바레인,2020. 09. 04,52807,190
바레인,2020. 09. 05,53433,194
바레인,2020. 09. 06,54095,196
바레인,2020. 09. 07,54771,196
바레인,2020. 09. 08,55415,199
바레인,2020. 09. 10,56778,202
바레인,2020. 09. 11,57450,204
바레인,2020. 09. 12,58207,208
바레인,2020. 09. 14,59586,212
바레인,2020. 09. 15,60307,213
바레인,2020. 09. 16,60965,213
바레인,2020. 09. 17,61643,215
바레인,2020. 09. 18,62484,216
바레인,2020. 09. 20,63879,220
바레인,2020. 09. 21,64499,221
바레인,2020. 09. 22,65039,221
바레인,2020. 09. 23,65039,222
바레인,2020. 09. 24,66402,227
바레인,2020. 09. 25,67014,231
바레인,2020. 09. 26,67701,231
바레인,2020. 09. 27,68190,236
바레인,2020. 09. 28,68775,239
바레인,2020. 09. 29,69361,242
바레인,2020. 09. 30,69848,245
바레인,2020. 10. 01,70422,246
바레인,2020. 10. 03,71374,254
바레인,2020. 10. 04,71803,255
바레인,2020. 10. 05,72310,258
바레인,2020. 10. 06,72662,260
바레인,2020. 10. 07,73116,261
바레인,2020. 10. 08,73476,262
바레인,2020. 10. 09,73932,262
바레인,2020. 10. 10,74422,264
바레인,2020. 10. 11,74860,271
바레인,2020. 10. 12,75287,273
바레인,2020. 10. 13,75614,275
바레인,2020. 10. 14,75948,278
바레인,2020. 10. 15,76272,285
바레인,2020. 10. 16,76621,287
바레인,2020. 10. 17,76954,289
바레인,2020. 10. 18,77325,292
바레인,2020. 10. 19,77571,293
바레인,2020. 10. 20,77902,300
바레인,2020. 10. 21,78224,302
바레인,2020. 10. 23,78907,308
바레인,2020. 10. 27,80255,312
바레인,2020. 10. 29,80765,316
바레인,2020. 10. 30,81022,317
바레인,2020. 10. 31,81262,317
바레인,2020. 11. 01,81466,319
바레인,2020. 11. 04,82133,322
바레인,2020. 11. 05,82363,324
바레인,2020. 11. 06,82624,327
바레인,2020. 11. 07,82786,328
바레인,2020. 11. 09,83264,329
바레인,2020. 11. 11,83632,329
바레인,2020. 11. 13,84042,332
바레인,2020. 11. 14,84192,332
바레인,2020. 11. 15,84349,332
바레인,2020. 11. 16,84523,333
바레인,2020. 11. 17,84703,334
바레인,2020. 11. 18,84882,337
바레인,2020. 11. 19,85008,337
바레인,2020. 11. 20,85182,337
바레인,2020. 11. 22,85467,338
바레인,2020. 11. 25,85886,339
바레인,2020. 11. 26,86016,340
바레인,2020. 11. 27,86185,340
바레인,2020. 11. 28,86347,341
바레인,2020. 12. 01,86787,341
바레인,2020. 12. 02,86956,341
바레인,2020. 12. 03,87137,341
바레인,2020. 12. 04,87270,341
바레인,2020. 12. 06,87599,341
바레인,2020. 12. 07,87731,341
바레인,2020. 12. 08,87929,341
바레인,2020. 12. 09,88110,341
바레인,2020. 12. 10,88293,343
바레인,2020. 12. 11,88494,347
바레인,2020. 12. 12,88631,347
바레인,2020. 12. 13,88819,347
바레인,2020. 12. 14,88964,348
바레인,2020. 12. 15,89142,348
바레인,2020. 12. 17,89444,348
바레인,2020. 12. 19,89600,349
바레인,2020. 12. 20,89883,349
바레인,2020. 12. 21,90062,349
바레인,2020. 12. 22,90282,349
바레인,2020. 12. 23,90450,350
바레인,2020. 12. 24,90634,350
바레인,2020. 12. 25,90817,350
바레인,2020. 12. 26,91070,350
바레인,2020. 12. 27,91304,351
바레인,2020. 12. 28,91518,351
바레인,2020. 12. 29,91733,351
바레인,2020. 12. 30,91935,351
바레인,2020. 12. 31,92169,351
방글라데시,2020. 05. 01,7103,163
방글라데시,2020. 05. 02,7667,168
방글라데시,2020. 05. 03,8238,170
방글라데시,2020. 05. 04,8790,175
방글라데시,2020. 05. 05,9455,177
방글라데시,2020. 05. 06,10143,182
방글라데시,2020. 05. 07,10929,183
방글라데시,2020. 05. 08,11719,186
방글라데시,2020. 05. 09,12425,186
방글라데시,2020. 05. 10,13134,206
방글라데시,2020. 05. 11,13770,214
방글라데시,2020. 05. 12,14657,228
방글라데시,2020. 05. 13,15691,239
방글라데시,2020. 05. 14,16660,250
방글라데시,2020. 05. 15,17822,269
방글라데시,2020. 05. 16,18863,283
방글라데시,2020. 05. 17,20065,298
방글라데시,2020. 05. 18,20995,314
방글라데시,2020. 05. 19,22268,328
방글라데시,2020. 05. 20,23870,349
방글라데시,2020. 05. 21,25121,370
방글라데시,2020. 05. 22,26738,386
방글라데시,2020. 05. 23,28511,408
방글라데시,2020. 05. 24,30205,432
